ensembl.id	Ovcar4_sens_1	Ovcar4_sens_2	Ovcar4_sens_3	Ovcar4_res_1	Ovcar4_res_2	Ovcar4_res_3
ENSG00000000003	1759	1802	2050	1759	1622	1817
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	3408	2795	3182	4365	3083	5395
ENSG00000000457	333	280	347	386	392	569
ENSG00000000460	1055	1090	1435	1221	874	1116
ENSG00000000938	0	0	0	5	0	1
ENSG00000000971	878	1472	1444	1755	367	705
ENSG00000001036	2704	2694	2729	3164	1926	2641
ENSG00000001084	1480	1251	1393	2207	1447	2781
ENSG00000001167	1381	1318	1544	1568	1266	1545
ENSG00000001460	616	410	425	604	612	837
ENSG00000001461	1585	1793	2299	2480	1422	2041
ENSG00000001497	2817	3085	3781	3667	3951	4338
ENSG00000001561	321	311	296	461	288	426
ENSG00000001617	1595	1185	1537	464	505	521
ENSG00000001626	65	57	62	5	1	1
ENSG00000001629	5463	4225	5037	4170	3417	5262
ENSG00000001630	658	581	794	399	191	639
ENSG00000001631	2354	2064	2253	2090	1980	2238
ENSG00000002016	290	195	251	221	332	276
ENSG00000002079	2	2	3	0	1	1
ENSG00000002330	1869	1490	1818	2113	2013	2308
ENSG00000002549	1004	1149	1298	1591	561	1118
ENSG00000002586	3620	2909	2938	2983	3419	4431
ENSG00000002587	3	10	5	0	0	0
ENSG00000002726	7	16	7	156	249	158
ENSG00000002745	0	0	0	1	1	1
ENSG00000002746	30	68	75	21	17	19
ENSG00000002822	662	614	664	706	744	902
ENSG00000002834	15164	16176	17802	11316	8121	11579
ENSG00000002919	397	403	407	618	462	892
ENSG00000002933	0	0	0	0	0	0
ENSG00000003056	2637	2429	2697	3685	1751	3864
ENSG00000003096	828	1116	1234	519	218	313
ENSG00000003137	4	6	1	14	21	5
ENSG00000003147	106	60	46	56	72	106
ENSG00000003249	895	698	794	581	766	691
ENSG00000003393	2094	1604	1783	1973	1521	2374
ENSG00000003400	479	288	356	329	263	390
ENSG00000003402	1438	1164	1311	1175	837	1441
ENSG00000003436	408	241	301	361	329	430
ENSG00000003509	683	609	700	965	873	913
ENSG00000003756	1794	1489	1796	1815	1653	1828
ENSG00000003987	26	24	15	36	23	52
ENSG00000003989	905	690	676	1433	672	963
ENSG00000004059	4166	3036	3149	2339	2709	3276
ENSG00000004139	73	140	236	295	145	101
ENSG00000004142	3520	3442	4212	4085	3048	4054
ENSG00000004399	8697	6291	7871	7533	5610	10346
ENSG00000004455	7016	5152	5039	4123	4605	5907
ENSG00000004468	4	11	3	0	2	4
ENSG00000004478	6290	6409	7846	4385	4025	5066
ENSG00000004487	5458	4773	6100	4979	5150	8112
ENSG00000004534	1379	1178	1452	1705	1640	2107
ENSG00000004660	302	180	313	351	413	432
ENSG00000004700	1048	1134	1489	1935	927	1423
ENSG00000004766	1376	1071	1188	1234	837	1585
ENSG00000004776	10	6	6	3	3	10
ENSG00000004777	1138	1061	1053	559	772	608
ENSG00000004779	2454	1999	2468	4127	4012	5681
ENSG00000004799	121	36	27	55	194	190
ENSG00000004809	1	4	6	1	0	0
ENSG00000004838	48	19	29	13	20	32
ENSG00000004846	3	1	5	6	12	8
ENSG00000004848	1	0	0	1	0	0
ENSG00000004864	9366	9110	10281	6204	3940	6828
ENSG00000004866	1100	1162	1261	847	691	657
ENSG00000004897	2554	2335	2867	4099	2576	3812
ENSG00000004939	1	0	0	0	0	1
ENSG00000004948	0	1	0	11	5	0
ENSG00000004961	1844	1824	2152	2179	1372	2570
ENSG00000004975	1953	1580	1978	1818	1541	2962
ENSG00000005001	1767	652	688	61	165	199
ENSG00000005007	7800	8340	9917	6950	4504	5914
ENSG00000005020	1946	1874	2385	2693	1685	2792
ENSG00000005022	21007	19703	21721	17340	12743	21228
ENSG00000005059	382	379	383	527	483	613
ENSG00000005073	35	40	54	142	132	157
ENSG00000005075	1894	1603	1801	1770	2606	2187
ENSG00000005100	1242	1353	1825	1488	1402	1571
ENSG00000005102	1065	1135	1521	686	852	1033
ENSG00000005108	28	18	53	25	3	5
ENSG00000005156	1438	1199	1218	1047	1028	1462
ENSG00000005175	2052	1896	2038	2751	2027	2879
ENSG00000005187	396	308	579	492	261	439
ENSG00000005189	360	329	407	305	309	339
ENSG00000005194	965	904	1144	1366	1152	1445
ENSG00000005206	1572	1378	1412	1786	2223	1728
ENSG00000005238	446	374	386	395	269	452
ENSG00000005243	123	84	90	144	68	109
ENSG00000005249	460	495	610	322	262	298
ENSG00000005302	865	979	1100	870	663	900
ENSG00000005339	2323	2542	2856	1819	1376	2319
ENSG00000005379	157	95	97	32	59	58
ENSG00000005381	0	0	0	0	0	0
ENSG00000005421	1	1	0	3	4	3
ENSG00000005436	481	449	622	551	474	551
ENSG00000005448	568	582	448	644	697	1046
ENSG00000005469	307	382	429	611	390	478
ENSG00000005471	1	0	4	5	1	1
ENSG00000005483	6569	5037	5771	3632	5390	5065
ENSG00000005486	2333	1488	1456	833	895	1335
ENSG00000005513	38	39	40	110	292	219
ENSG00000005700	2742	2038	2300	2729	2173	3641
ENSG00000005801	512	507	681	813	891	654
ENSG00000005810	1405	1393	1768	1441	1520	1741
ENSG00000005812	772	878	964	693	427	692
ENSG00000005844	3	1	3	10	1	2
ENSG00000005882	608	530	544	997	601	852
ENSG00000005884	14423	11549	10322	11726	7968	13167
ENSG00000005889	882	1029	1317	956	743	974
ENSG00000005893	6429	5182	5682	6854	3579	7009
ENSG00000005961	24	6	12	19	47	48
ENSG00000005981	0	0	0	0	0	0
ENSG00000006007	2468	2730	3342	2283	1812	2455
ENSG00000006015	1807	1687	1806	1959	1788	1595
ENSG00000006016	314	184	140	113	363	636
ENSG00000006025	548	472	458	827	763	847
ENSG00000006042	95	100	118	150	111	131
ENSG00000006047	2409	1290	1212	1412	2083	2098
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	722	717	770	1234	768	1072
ENSG00000006071	0	0	0	2	2	1
ENSG00000006116	0	0	0	0	0	0
ENSG00000006118	4112	2988	4405	3983	4128	5198
ENSG00000006125	4790	4771	5607	5546	4362	7232
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194	997	896	1056	1164	979	1725
ENSG00000006210	615	787	1385	906	274	310
ENSG00000006282	1058	892	915	1672	1536	1575
ENSG00000006283	52	48	24	26	28	45
ENSG00000006327	5807	4554	5472	5933	6029	6894
ENSG00000006377	706	542	639	548	782	987
ENSG00000006432	1748	1600	1671	959	1019	1168
ENSG00000006451	3086	2349	2754	1426	1563	2402
ENSG00000006453	5905	4321	4888	3473	3592	5365
ENSG00000006459	897	343	385	228	243	346
ENSG00000006468	1	1	0	14	19	17
ENSG00000006530	1274	1010	1209	1130	1243	1489
ENSG00000006534	901	557	605	756	712	2106
ENSG00000006555	168	190	115	66	23	31
ENSG00000006576	1136	1155	1433	830	657	973
ENSG00000006606	103	118	50	38	42	33
ENSG00000006607	1170	1283	1435	1230	931	1197
ENSG00000006611	1	6	2	2	4	11
ENSG00000006625	1588	1119	1503	1123	1410	1560
ENSG00000006634	2663	2269	2695	1884	2535	2775
ENSG00000006638	2	2	0	15	12	8
ENSG00000006652	7730	5194	5526	5956	6711	13242
ENSG00000006659	4	3	64	9	1	3
ENSG00000006695	519	450	527	520	574	784
ENSG00000006704	1564	995	1084	780	948	1479
ENSG00000006712	3228	3285	3605	3032	2246	2938
ENSG00000006715	3354	2872	3485	3110	1975	2815
ENSG00000006740	15	12	9	12	7	19
ENSG00000006744	2367	2462	3098	3113	2403	2704
ENSG00000006747	5	7	5	7	12	13
ENSG00000006756	883	830	1044	1286	633	1065
